# Time, systemEnergy
0.000000,  2445.791148
0.000004,  2443.503460
0.000008,  2442.347310
0.000013,  2441.660840
0.000017,  2441.201751
0.000021,  2440.860382
0.000025,  2440.583627
0.000029,  2440.345024
0.000033,  2440.130747
0.000038,  2439.933373
0.000042,  2439.748628
0.000046,  2439.573943
0.000050,  2439.407627
0.000054,  2439.248516
0.000058,  2439.095737
0.000063,  2438.948617
0.000067,  2438.806609
0.000071,  2438.669260
0.000075,  2438.536183
0.000079,  2438.407047
0.000083,  2438.281562
0.000088,  2438.159473
0.000092,  2438.040554
0.000096,  2437.924603
0.000100,  2437.811440
0.000104,  2437.700901
0.000108,  2437.592838
0.000113,  2437.487116
0.000117,  2437.383614
0.000121,  2437.282217
