# Time, systemEnergy
0.000000,  2445.791148
0.000004,  2443.503460
0.000008,  2442.347310
0.000013,  2441.660840
0.000017,  2441.201751
0.000021,  2440.860382
0.000025,  2440.583627
0.000029,  2440.345024
0.000033,  2440.130747
0.000038,  2439.933373
0.000042,  2439.748628
0.000046,  2439.573943
0.000050,  2439.407627
0.000054,  2439.248516
0.000058,  2439.095737
0.000063,  2438.948617
0.000067,  2438.806609
0.000071,  2438.669260
0.000075,  2438.536183
0.000079,  2438.407047
0.000083,  2438.281562
0.000088,  2438.159473
0.000092,  2438.040554
0.000096,  2437.924603
0.000100,  2437.811440
0.000104,  2437.700901
0.000108,  2437.592838
0.000113,  2437.487116
0.000117,  2437.383614
0.000121,  2437.282217
0.000125,  2437.182823
0.000129,  2437.085337
0.000133,  2436.989670
0.000138,  2436.895741
0.000142,  2436.803474
0.000146,  2436.712798
0.000150,  2436.623649
0.000154,  2436.535964
0.000158,  2436.449686
0.000163,  2436.364762
0.000167,  2436.281140
0.000171,  2436.198773
0.000175,  2436.117616
0.000179,  2436.037627
0.000183,  2435.958766
0.000188,  2435.880995
0.000192,  2435.804279
0.000196,  2435.728582
0.000200,  2435.653874
0.000204,  2435.580124
0.000208,  2435.507302
0.000213,  2435.435380
0.000217,  2435.364333
0.000221,  2435.294135
0.000225,  2435.224762
0.000229,  2435.156191
0.000233,  2435.088400
0.000238,  2435.021368
0.000242,  2434.955075
0.000246,  2434.889502
0.000250,  2434.824629
0.000254,  2434.760440
0.000258,  2434.696917
0.000263,  2434.634044
0.000267,  2434.571805
0.000271,  2434.510184
0.000275,  2434.449168
0.000279,  2434.388742
0.000283,  2434.328892
0.000288,  2434.269606
0.000292,  2434.210871
0.000296,  2434.152675
0.000300,  2434.095005
0.000304,  2434.037851
0.000308,  2433.981202
0.000313,  2433.925047
0.000317,  2433.869375
0.000321,  2433.814177
0.000325,  2433.759444
0.000329,  2433.705165
0.000333,  2433.651333
0.000338,  2433.597937
0.000342,  2433.544970
0.000346,  2433.492424
0.000350,  2433.440290
0.000354,  2433.388561
0.000358,  2433.337229
0.000363,  2433.286287
0.000367,  2433.235728
0.000371,  2433.185545
0.000375,  2433.135731
0.000379,  2433.086280
0.000383,  2433.037186
0.000388,  2432.988442
0.000392,  2432.940042
0.000396,  2432.891981
0.000400,  2432.844253
0.000404,  2432.796852
0.000408,  2432.749773
0.000413,  2432.703011
0.000417,  2432.656560
0.000421,  2432.610416
0.000425,  2432.564574
0.000429,  2432.519029
0.000433,  2432.473777
0.000438,  2432.428813
0.000442,  2432.384132
0.000446,  2432.339730
0.000450,  2432.295604
0.000454,  2432.251749
0.000458,  2432.208161
0.000463,  2432.164836
0.000467,  2432.121770
0.000471,  2432.078960
0.000475,  2432.036402
0.000479,  2431.994093
0.000483,  2431.952029
0.000488,  2431.910206
0.000492,  2431.868622
0.000496,  2431.827273
0.000500,  2431.786156
0.000504,  2431.745268
0.000508,  2431.704605
0.000513,  2431.664165
0.000517,  2431.623946
0.000521,  2431.583943
0.000525,  2431.544154
0.000529,  2431.504577
0.000533,  2431.465210
0.000538,  2431.426048
0.000542,  2431.387090
0.000546,  2431.348333
0.000550,  2431.309775
0.000554,  2431.271413
0.000558,  2431.233245
0.000563,  2431.195269
0.000567,  2431.157482
0.000571,  2431.119882
0.000575,  2431.082467
0.000579,  2431.045235
0.000583,  2431.008183
0.000588,  2430.971310
0.000592,  2430.934614
0.000596,  2430.898092
0.000600,  2430.861743
0.000604,  2430.825565
0.000608,  2430.789555
0.000613,  2430.753713
0.000617,  2430.718035
0.000621,  2430.682521
0.000625,  2430.647168
0.000629,  2430.611976
0.000633,  2430.576941
0.000638,  2430.542064
0.000642,  2430.507341
0.000646,  2430.472771
0.000650,  2430.438353
0.000654,  2430.404085
0.000658,  2430.369966
0.000663,  2430.335994
0.000667,  2430.302168
0.000671,  2430.268486
0.000675,  2430.234947
0.000679,  2430.201549
0.000683,  2430.168291
0.000688,  2430.135172
0.000692,  2430.102190
0.000696,  2430.069345
0.000700,  2430.036634
0.000704,  2430.004056
0.000708,  2429.971611
0.000713,  2429.939296
0.000717,  2429.907112
0.000721,  2429.875055
0.000725,  2429.843127
0.000729,  2429.811324
0.000733,  2429.779647
0.000738,  2429.748093
0.000742,  2429.716663
0.000746,  2429.685354
0.000750,  2429.654166
0.000754,  2429.623097
0.000758,  2429.592147
0.000763,  2429.561315
0.000767,  2429.530599
0.000771,  2429.499999
0.000775,  2429.469513
0.000779,  2429.439141
0.000783,  2429.408881
0.000788,  2429.378733
0.000792,  2429.348696
0.000796,  2429.318769
0.000800,  2429.288951
0.000804,  2429.259240
0.000808,  2429.229637
0.000813,  2429.200141
0.000817,  2429.170749
0.000821,  2429.141463
0.000825,  2429.112280
0.000829,  2429.083200
0.000833,  2429.054222
0.000838,  2429.025345
0.000842,  2428.996569
0.000846,  2428.967893
0.000850,  2428.939316
0.000854,  2428.910837
0.000858,  2428.882455
0.000863,  2428.854170
0.000867,  2428.825982
0.000871,  2428.797888
0.000875,  2428.769889
0.000879,  2428.741984
0.000883,  2428.714173
0.000888,  2428.686453
0.000892,  2428.658826
0.000896,  2428.631290
0.000900,  2428.603844
0.000904,  2428.576488
0.000908,  2428.549221
0.000913,  2428.522043
0.000917,  2428.494953
0.000921,  2428.467950
0.000925,  2428.441034
0.000929,  2428.414204
0.000933,  2428.387459
0.000938,  2428.360800
0.000942,  2428.334224
0.000946,  2428.307733
0.000950,  2428.281324
0.000954,  2428.254998
0.000958,  2428.228754
0.000963,  2428.202592
0.000967,  2428.176511
0.000971,  2428.150509
0.000975,  2428.124588
0.000979,  2428.098746
0.000983,  2428.072983
0.000988,  2428.047299
0.000992,  2428.021692
0.000996,  2427.996162
0.001000,  2427.970709
0.001004,  2427.945332
0.001008,  2427.920032
0.001013,  2427.894806
0.001017,  2427.869655
0.001021,  2427.844579
0.001025,  2427.819577
0.001029,  2427.794647
0.001033,  2427.769791
0.001038,  2427.745008
0.001042,  2427.720296
0.001046,  2427.695656
0.001050,  2427.671088
0.001054,  2427.646589
0.001058,  2427.622162
0.001063,  2427.597804
0.001067,  2427.573515
0.001071,  2427.549296
0.001075,  2427.525145
0.001079,  2427.501063
0.001083,  2427.477048
0.001088,  2427.453101
0.001092,  2427.429220
0.001096,  2427.405407
0.001100,  2427.381659
0.001104,  2427.357977
0.001108,  2427.334361
0.001113,  2427.310810
0.001117,  2427.287324
0.001121,  2427.263901
0.001125,  2427.240543
0.001129,  2427.217249
0.001133,  2427.194017
0.001138,  2427.170849
0.001142,  2427.147743
0.001146,  2427.124699
0.001150,  2427.101717
0.001154,  2427.078796
0.001158,  2427.055937
0.001163,  2427.033138
0.001167,  2427.010400
0.001171,  2426.987722
0.001175,  2426.965103
0.001179,  2426.942545
0.001183,  2426.920045
0.001188,  2426.897604
0.001192,  2426.875222
0.001196,  2426.852897
0.001200,  2426.830631
0.001204,  2426.808422
0.001208,  2426.786271
0.001213,  2426.764176
0.001217,  2426.742138
0.001221,  2426.720157
0.001225,  2426.698231
0.001229,  2426.676362
0.001233,  2426.654547
0.001238,  2426.632788
0.001242,  2426.611084
0.001246,  2426.589434
0.001250,  2426.567839
0.001254,  2426.546298
0.001258,  2426.524811
0.001263,  2426.503377
0.001267,  2426.481996
0.001271,  2426.460668
0.001275,  2426.439393
0.001279,  2426.418171
0.001283,  2426.397000
0.001288,  2426.375882
0.001292,  2426.354815
0.001296,  2426.333799
0.001300,  2426.312835
0.001304,  2426.291921
0.001308,  2426.271058
0.001313,  2426.250246
0.001317,  2426.229484
0.001321,  2426.208771
0.001325,  2426.188108
0.001329,  2426.167495
0.001333,  2426.146931
0.001338,  2426.126415
0.001342,  2426.105949
0.001346,  2426.085530
0.001350,  2426.065160
0.001354,  2426.044838
0.001358,  2426.024564
0.001363,  2426.004337
0.001367,  2425.984158
0.001371,  2425.964026
0.001375,  2425.943940
0.001379,  2425.923902
0.001383,  2425.903909
0.001388,  2425.883963
0.001392,  2425.864063
0.001396,  2425.844209
0.001400,  2425.824400
0.001404,  2425.804637
0.001408,  2425.784918
0.001413,  2425.765245
0.001417,  2425.745617
0.001421,  2425.726033
0.001425,  2425.706493
0.001429,  2425.686997
0.001433,  2425.667546
0.001438,  2425.648138
0.001442,  2425.628774
0.001446,  2425.609453
0.001450,  2425.590175
0.001454,  2425.570940
0.001458,  2425.551748
0.001463,  2425.532599
0.001467,  2425.513492
0.001471,  2425.494427
0.001475,  2425.475404
0.001479,  2425.456423
0.001483,  2425.437483
0.001488,  2425.418586
0.001492,  2425.399729
0.001496,  2425.380913
0.001500,  2425.362139
0.001504,  2425.343405
0.001508,  2425.324712
0.001513,  2425.306059
0.001517,  2425.287446
0.001521,  2425.268874
0.001525,  2425.250341
0.001529,  2425.231848
0.001533,  2425.213395
0.001538,  2425.194981
0.001542,  2425.176606
0.001546,  2425.158270
0.001550,  2425.139973
0.001554,  2425.121715
0.001558,  2425.103495
0.001563,  2425.085314
0.001567,  2425.067171
0.001571,  2425.049066
0.001575,  2425.030999
0.001579,  2425.012970
0.001583,  2424.994978
0.001588,  2424.977024
0.001592,  2424.959107
0.001596,  2424.941228
0.001600,  2424.923385
0.001604,  2424.905579
0.001608,  2424.887810
0.001613,  2424.870077
0.001617,  2424.852381
0.001621,  2424.834721
0.001625,  2424.817097
0.001629,  2424.799509
0.001633,  2424.781956
0.001638,  2424.764440
0.001642,  2424.746959
0.001646,  2424.729513
0.001650,  2424.712103
0.001654,  2424.694727
0.001658,  2424.677387
0.001663,  2424.660082
0.001667,  2424.642811
0.001671,  2424.625574
0.001675,  2424.608373
0.001679,  2424.591205
0.001683,  2424.574072
0.001688,  2424.556972
0.001692,  2424.539906
0.001696,  2424.522875
0.001700,  2424.505876
0.001704,  2424.488912
0.001708,  2424.471980
0.001713,  2424.455082
0.001717,  2424.438217
0.001721,  2424.421385
0.001725,  2424.404586
0.001729,  2424.387819
0.001733,  2424.371085
0.001738,  2424.354383
0.001742,  2424.337714
0.001746,  2424.321077
0.001750,  2424.304473
0.001754,  2424.287900
0.001758,  2424.271359
0.001763,  2424.254849
0.001767,  2424.238372
0.001771,  2424.221925
0.001775,  2424.205511
0.001779,  2424.189127
0.001783,  2424.172775
0.001788,  2424.156453
0.001792,  2424.140163
0.001796,  2424.123903
0.001800,  2424.107674
0.001804,  2424.091476
0.001808,  2424.075308
0.001813,  2424.059170
0.001817,  2424.043063
0.001821,  2424.026986
0.001825,  2424.010939
0.001829,  2423.994921
0.001833,  2423.978934
0.001838,  2423.962976
0.001842,  2423.947048
0.001846,  2423.931149
0.001850,  2423.915279
0.001854,  2423.899439
0.001858,  2423.883628
0.001863,  2423.867846
0.001867,  2423.852093
0.001871,  2423.836369
0.001875,  2423.820674
0.001879,  2423.805007
0.001883,  2423.789369
0.001888,  2423.773759
0.001892,  2423.758177
0.001896,  2423.742624
0.001900,  2423.727099
0.001904,  2423.711602
0.001908,  2423.696132
0.001913,  2423.680691
0.001917,  2423.665277
0.001921,  2423.649891
0.001925,  2423.634533
0.001929,  2423.619202
0.001933,  2423.603898
0.001938,  2423.588622
0.001942,  2423.573373
0.001946,  2423.558150
0.001950,  2423.542955
0.001954,  2423.527787
0.001958,  2423.512645
0.001963,  2423.497530
0.001967,  2423.482442
0.001971,  2423.467380
0.001975,  2423.452345
0.001979,  2423.437336
0.001983,  2423.422353
0.001988,  2423.407397
0.001992,  2423.392466
0.001996,  2423.377561
0.002000,  2423.362683
0.002004,  2423.347830
0.002008,  2423.333003
0.002013,  2423.318201
0.002017,  2423.303425
0.002021,  2423.288674
0.002025,  2423.273949
0.002029,  2423.259249
0.002033,  2423.244574
0.002038,  2423.229924
0.002042,  2423.215300
0.002046,  2423.200700
0.002050,  2423.186125
0.002054,  2423.171575
0.002058,  2423.157050
0.002063,  2423.142549
0.002067,  2423.128072
0.002071,  2423.113621
0.002075,  2423.099193
0.002079,  2423.084790
0.002083,  2423.070411
0.002088,  2423.056056
0.002092,  2423.041725
0.002096,  2423.027418
0.002100,  2423.013135
0.002104,  2422.998876
0.002108,  2422.984641
0.002113,  2422.970429
0.002117,  2422.956241
0.002121,  2422.942076
0.002125,  2422.927935
0.002129,  2422.913817
0.002133,  2422.899722
0.002138,  2422.885651
0.002142,  2422.871603
0.002146,  2422.857577
0.002150,  2422.843575
0.002154,  2422.829596
0.002158,  2422.815639
0.002163,  2422.801706
0.002167,  2422.787794
0.002171,  2422.773906
0.002175,  2422.760040
0.002179,  2422.746197
0.002183,  2422.732376
0.002188,  2422.718577
0.002192,  2422.704800
0.002196,  2422.691046
